epocas;batch;optimizador;capas;accuracy
8;12;adam;2;0,553
8;8;adam;2;0,538
4;8;adam;2;0,523
8;8;adam;3;0,515
8;12;adam;3;0,515
6;4;adam;2;0,508
8;4;adam;3;0,485
6;12;adam;2;0,477
4;12;adam;2;0,462
8;4;adam;2;0,462
6;8;adam;2;0,455
8;12;adam;4;0,455
6;8;adam;3;0,447
4;12;adam;3;0,439
8;8;adam;4;0,432
6;8;SGD;2;0,424
6;8;adam;4;0,402
6;4;adam;3;0,394
6;12;adam;3;0,394
8;4;SGD;2;0,394
6;4;SGD;2;0,386
8;4;adam;4;0,386
8;8;SGD;2;0,386
8;4;adagrad;2;0,379
4;4;SGD;2;0,364
6;4;adam;4;0,348
4;8;adam;3;0,341
6;12;SGD;2;0,333
4;4;adam;2;0,326
4;4;adam;3;0,311
4;8;SGD;2;0,280
6;8;SGD;3;0,273
8;12;adagrad;2;0,273
6;4;adagrad;2;0,265
6;12;adam;4;0,265
8;4;adagrad;3;0,265
4;8;adam;4;0,258
6;8;adagrad;2;0,258
4;4;adam;4;0,250
8;4;SGD;3;0,250
6;4;adagrad;3;0,242
8;4;SGD;4;0,242
6;12;SGD;3;0,220
6;4;SGD;3;0,212
8;12;SGD;2;0,212
4;4;SGD;3;0,197
6;4;SGD;4;0,197
4;4;SGD;4;0,189
6;12;adagrad;2;0,189
8;8;SGD;3;0,189
8;8;SGD;4;0,189
8;8;adagrad;2;0,182
4;12;adagrad;2;0,174
8;4;adagrad;4;0,174
6;4;adagrad;4;0,167
4;8;SGD;3;0,159
4;4;adagrad;3;0,152
4;4;adagrad;2;0,152
6;12;SGD;4;0,152
6;12;adagrad;3;0,152
8;12;SGD;3;0,144
4;4;adagrad;4;0,136
8;8;adagrad;3;0,136
4;8;adagrad;3;0,129
6;8;SGD;4;0,129
8;12;adagrad;4;0,129
4;8;SGD;4;0,121
4;8;adagrad;2;0,121
4;12;adam;4;0,121
8;8;adagrad;4;0,121
4;12;SGD;3;0,114
8;12;SGD;4;0,114
4;12;SGD;2;0,106
6;8;adagrad;4;0,106
4;8;adagrad;4;0,098
4;12;adagrad;3;0,098
4;12;adagrad;4;0,098
4;12;SGD;4;0,091
6;8;adagrad;3;0,091
6;12;adagrad;4;0,091
8;12;adagrad;3;0,091
